Challenge,Description,Unlocks
Warrior,Reach and complete the 3rd Teleporter event without dying.,Huntress
Verified,Complete the first Teleporter event 5 times.,MUL-T
Pause.,Free the survivor suspended in time.,Artificer
True Respite,Obliterate yourself at the Obelisk..,Mercenary
Engineering Perfection,Complete 30 stages.,Engineer
Power Plant,Repair the broken robot with an Escape Pod's Fuel Array.,REX
Guidance Offline,Defeat the unique guardian of Siren's Call.,Loader
Bookworm,Collect 10 Monster or Environment Logs.,Radar Scanner
Rapidfire,Reach +200% attack speed.,Predatory Instincts
The Lone Survivor,Stay alive for 30 consecutive minutes.,Dio's Best Friend
Macho,Deal 5000 damage in one shot.,Unstable Tesla Coil
Moon Worshipper,Carry 5 Lunar items in a single run.,Glowing Meteorite
Glorious Battle,Charge the Teleporter with less than 10% health.,Berzerker's Pauldron
Ascendant,Defeat the Teleporter bosses after activating 2 Shrines of the Mountain.,Royal Capacitor
Advancement,Complete a Teleporter event.,Armor-Piercing Rounds
Learning Process,Die 5 times.,Tougher Times
Experimenting,Pick up 5 different types of Equipment.,Fuel Cell
The Long Road,Complete 20 stages in a single run.,57 Leaf Clover
Deicide,Defeat an Elite boss on Monsoon difficulty.,Brainstalks
Slaughter,Defeat 3000 enemies.,Infusion
Elite Slayer,Defeat an Elite-type monster.,Medkit
One with the Woods,Fully upgrade a Shrine of the Woods.,Gnarled Woodsprite
Mechanic,Repair 30 drones or turrets.,The Back-up
Funded!,Collect $30480 total gold.,The Crowdfunder
Warm For Life,Die three times while burning.,Blast Shower
[REDACTED],Open the Timed Security Chest on Rallypoint Delta.,Preon Accumulator
The Demons And The Crabs,Kill 20 Hermit Crabs by chasing them off the edge of the map.,Gesture of the Drowned
Multikill!,Kill 15 enemies simultaneously.,Helfire Tincture
Prismatically Aligned,Complete a Prismatic Trial.,Harvester's Scythe
Death Do Us Part,Discover the hidden chamber in the Abandoned Aqueduct.,Runald's Band/Kjaro's Band
Newtist,Discover and activate 8 unique Newt Altars.,Soulbound Catalyst
Flawless,Fully charge a Teleporter without getting hit.,Backup Magazine
Going Fast Recommended,Reach +300% movespeed (includes sprinting).,Wax Quail
The Basics,Discover 10 unique white items.,Crowbar
"Is This Bugged?",Fail the Shrine of Chance 3 times in a row.,Paul's Goat Hoof
Deja Vu?,Loop back to the first stage.,Sentient Meat Hook
...Maybe One More.,Duplicate the same item 7 times in a row with a 3D Printer.,Bundle of Fireworks
Keyed Up,Defeat the Teleporter boss under 15 seconds.,Rusted Key
Naturopath,Without healing reach and complete the 3rd Teleporter event.,Rejuvenation Rack
Her Concepts,Find the Altar to N'kuhana.,N'kuhana's Opinion
Blackout,Defeat the unique guardian of Gilded Coast without any beacons deactivating.,Eccentric Vase
Cut Down,Defeat 500 elite monsters.,Old Guillotine
Warmonger,Complete 3 Combat Shrines in a single stage.,War Horn
Cosmic Explorer,Discover and enter three unique portals.,Spinel Tonic
Blockade Breaker,Kill 15 boss monsters in a single run.,Strides of Heresy
Commando: Rolling Thunder,As Commando land the killing blow on an Overloading Worm.,Phase Blast
Commando: Incorruptible,As Commando clear 20 stages in a single run without picking up any Lunar items.,Frag Grenade
MUL-T: Pest Control,As MUL-T defeat two Beetle Queens without leaving the teleporter zone.,Scrap Launcher
MUL-T: Gotcha!,As MUL-T land the killing blow on an Imp Overlord with the Preon Accumulator.,Power-Saw
Huntress: One Shot One Kill,As Huntress collect and carry 12 Crowbars at once.,Phase Blink
Huntress: Piercing Wind,As Huntress start and finish Rallypoint Delta without falling below 100% health.,Ballista
Engineer: 100% Calculated,As Engineer defeat the teleporter boss in less than 5 seconds after it spawns.,Spider Mines
Engineer: Better With Friends,As Engineer recruit 12 minions at one time.,TR58 Carbonizer Turret
Artificer: Massacre,As Artificer perform a multikill of 20 enemies.,Plasma Bolt
Artificer: Chunked!,As Artificer fully defeat the teleporter boss in a one-second burst of damage.,Cast Nano-Spear
Artificer: Orbital Bombardment,As Artificer kill 15 enemies before touching the ground.,Ion Surge
Mercenary: Demon of the Skies,As Mercenary don't touch the ground for 30 seconds.,Rising Thunder
Mercenary: Ethereal,As Mercenary complete a Prismatic Trial without falling below 100% health.,Slicing Winds
